Front	Back	Tags	Source
Qual é a definicao operacional de AKI no KDIGO 2026?	Alteracao funcional ou estrutural renal, conhecida ou presumida em ate 7 dias, no contexto clinico adequado: creatinina, cistatina C, diurese ou biomarcador validado.	KDIGO2026_AKI_UTI definicao	KDIGO 2026 AKI/AKD Public Review Draft
Quais sao os criterios funcionais classicos de AKI por creatinina?	SCr >=0,3 mg/dL em 48h ou SCr >=1,5x basal presumida em ate 7 dias.	KDIGO2026_AKI_UTI definicao	KDIGO 2026 AKI/AKD Public Review Draft
Qual criterio de diurese define AKI em adultos/criancas?	Volume urinario medio <0,5 mL/kg/h por >=6 horas, preferencialmente com peso ideal quando aplicavel.	KDIGO2026_AKI_UTI definicao	KDIGO 2026 AKI/AKD Public Review Draft
Quando considerar cistatina C para identificar AKI?	Quando a creatinina for pouco confiavel: baixa massa muscular, hepatopatia, hemodiluicao, estado nao estacionario, desnutricao, idosos, amputados.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
O que significa classificar AKI por C/U/B?	C = creatinina/cistatina; U = urine output/diurese; B = biomarcador de dano/estresse renal positivo ou negativo.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
C1 de AKI significa o que?	SCr >=0,3 mg/dL ou 1,5-1,9x basal.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
C2 de AKI significa o que?	SCr 2,0-2,9x basal.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
C3 de AKI significa o que?	SCr >=3x basal, SCr >=4 mg/dL ou inicio de RRT/TRS.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
U1 de AKI significa o que?	Diurese <0,5 mL/kg/h por 6-12 horas.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
U2 de AKI significa o que?	Diurese <0,5 mL/kg/h por >12 horas.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
U3 de AKI significa o que?	Diurese <0,3 mL/kg/h por >24 horas ou anuria >12 horas.	KDIGO2026_AKI_UTI estadiamento	KDIGO 2026 AKI/AKD Public Review Draft
Como diferenciar AKI transitoria de persistente?	Transitoria: alteracao de funcao/diurese <=48h. Persistente: >48h e ate 7 dias.	KDIGO2026_AKI_UTI prognostico	KDIGO 2026 AKI/AKD Public Review Draft
O que é AKD?	Doenca renal aguda com criterios funcionais/estruturais em duracao <=3 meses; pode ocorrer apos AKI ou sem AKI evidente.	KDIGO2026_AKI_UTI akd	KDIGO 2026 AKI/AKD Public Review Draft
Cite criterios funcionais de AKD.	AKI funcional, GFR <60 mL/min/1,73 m2, queda de GFR >=35 mL/min/1,73 m2 ou aumento de SCr >50%.	KDIGO2026_AKI_UTI akd	KDIGO 2026 AKI/AKD Public Review Draft
Como definir resolucao completa de AKI?	SCr ou cistatina C <1,2x basal dentro de 7 dias.	KDIGO2026_AKI_UTI recuperacao	KDIGO 2026 AKI/AKD Public Review Draft
Como definir resolucao parcial de AKI?	SCr ou cistatina C >=1,2 a <1,5x basal dentro de 7 dias.	KDIGO2026_AKI_UTI recuperacao	KDIGO 2026 AKI/AKD Public Review Draft
Qual a mensagem sobre alertas eletronicos de AKI?	Nao usar alertas interruptivos isolados baseados apenas em creatinina sem estrategia sistematica de resposta clinica.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
Para que serve o Furosemide Stress Test?	Avaliar risco de progressao para AKI estagio 3/RRT em AKI estagio 1-2 quando paciente esta euvolemico ou hipervolemico.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
Qual resposta ao Furosemide Stress Test sugere melhor prognostico?	Diurese robusta nas primeiras horas sugere reserva tubular; baixa resposta sugere maior risco de progressao.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
Quando usar KeGFR?	Quando estimativa de GFR em estado nao estacionario mudar decisao de dose, contraste, TRS ou prognostico.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
Qual papel do sedimento urinario na AKI?	Ajuda etiologia/prognostico; cilindros granulosos muddy brown e celulas tubulares sugerem injuria tubular aguda.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
FeNa e FeUrea devem ser usadas como?	Apenas em cenarios selecionados; têm utilidade limitada e devem ser interpretadas no contexto clinico.	KDIGO2026_AKI_UTI diagnostico	KDIGO 2026 AKI/AKD Public Review Draft
Qual papel do POCUS na AKI da UTI?	Avaliar volemia, congestao venosa, resposta a fluidos, obstrucao e perfusao, ajudando diferenciar AKI responsiva a volume de injuria intrinseca/congestiva.	KDIGO2026_AKI_UTI pocus	KDIGO 2026 AKI/AKD Public Review Draft
Cristaloide ou coloide na expansao inicial em risco/AKI?	Preferir cristaloides em vez de coloides como abordagem inicial de expansao intravascular.	KDIGO2026_AKI_UTI tratamento	KDIGO 2026 AKI/AKD Public Review Draft
Salina 0,9% ou cristaloide balanceado na AKI?	Na maioria sem TCE, preferir cristaloide balanceado/buffered em vez de SF 0,9%.	KDIGO2026_AKI_UTI tratamento	KDIGO 2026 AKI/AKD Public Review Draft
Qual excecao importante para cristaloides balanceados?	TCE/risco neurologico pode exigir cuidado com tonicidade; protocolos podem preferir SF/solucoes especificas.	KDIGO2026_AKI_UTI tratamento	KDIGO 2026 AKI/AKD Public Review Draft
pH <7,20 em AKI: sempre dialisa?	Nao. Bicarbonato IV pode ser preferido sobre RRT se nao houver outra indicacao urgente de RRT.	KDIGO2026_AKI_UTI acidose	KDIGO 2026 AKI/AKD Public Review Draft
Qual alvo geral de PAM na AKI critica?	PAM >65 mmHg como alvo inicial, individualizando em hipertensao cronica, hipotensao cronica e efeitos adversos de vasopressores.	KDIGO2026_AKI_UTI hemodinamica	KDIGO 2026 AKI/AKD Public Review Draft
Dopamina em baixa dose protege rim?	Nao. KDIGO recomenda contra dopamina em baixa dose para protecao renal.	KDIGO2026_AKI_UTI hemodinamica	KDIGO 2026 AKI/AKD Public Review Draft
Qual alvo glicemico aceitavel em criticos com risco/AKI?	140-180 mg/dL; evitar alvos agressivos que aumentem hipoglicemia.	KDIGO2026_AKI_UTI tratamento	KDIGO 2026 AKI/AKD Public Review Draft
Diuretico trata AKI?	Nao cura AKI; pode ser usado para sobrecarga volêmica clinicamente significativa.	KDIGO2026_AKI_UTI diuretico	KDIGO 2026 AKI/AKD Public Review Draft
Quando tentar diuretico antes de remocao extracorporea de fluido?	Em sobrecarga volêmica significativa sem outra indicacao de RRT, tentar diureticos antes de ultrafiltracao extracorporea.	KDIGO2026_AKI_UTI diuretico	KDIGO 2026 AKI/AKD Public Review Draft
Qual estrategia inicial de diuretico de alca?	Bolus intermitente geralmente é apropriado como primeira estrategia; infusao pode ser usada conforme resposta e contexto.	KDIGO2026_AKI_UTI diuretico	KDIGO 2026 AKI/AKD Public Review Draft
O que é nephrotoxin stewardship?	Revisao sistematica de nefrotoxicos: suspender, substituir, reduzir dose, monitorar niveis e interacoes.	KDIGO2026_AKI_UTI nefrotoxinas	KDIGO 2026 AKI/AKD Public Review Draft
Qual interacao nefrotoxica classica é chamada triple whammy?	AINE + diuretico + inibidor do sistema renina-angiotensina.	KDIGO2026_AKI_UTI nefrotoxinas	KDIGO 2026 AKI/AKD Public Review Draft
Quais drogas pedem TDM em AKI/RRT?	Vancomicina, aminoglicosideos, digoxina, calcineurinicos e outras com margem terapeutica estreita.	KDIGO2026_AKI_UTI farmacologia	KDIGO 2026 AKI/AKD Public Review Draft
Em contraste iodado, devemos atrasar exame essencial por medo de AKI?	Nao se o beneficio diagnostico/terapeutico superar o risco; mitigar com estrategia adequada.	KDIGO2026_AKI_UTI contraste	KDIGO 2026 AKI/AKD Public Review Draft
Como prevenir CA-AKI em alto risco sem congestao?	Hidratacao periprocedimento, geralmente com SF 0,9%, menor dose de contraste e contraste iso/baixo-osmolar quando possivel.	KDIGO2026_AKI_UTI contraste	KDIGO 2026 AKI/AKD Public Review Draft
Deve suspender RASi rotineiramente antes de cirurgia/contraste?	Nao rotineiramente; individualizar conforme hemodinamica, hipercalemia, risco de hipotensao e contexto.	KDIGO2026_AKI_UTI farmacologia	KDIGO 2026 AKI/AKD Public Review Draft
Hepatorrenal-AKI: vasoconstritores preferidos?	Terlipressina ou noradrenalina; midodrina + octreotideo se alternativas principais indisponiveis.	KDIGO2026_AKI_UTI higado-rim	KDIGO 2026 AKI/AKD Public Review Draft
Lise tumoral: alopurinol ou rasburicase em alto risco?	Rasburicase preferida se nao houver contraindicação por deficiência de G6PD.	KDIGO2026_AKI_UTI situacoes_especiais	KDIGO 2026 AKI/AKD Public Review Draft
Lise tumoral: alcalinizar urina rotineiramente?	Nao. Volume com cristaloide sem alcalinizacao urinaria rotineira.	KDIGO2026_AKI_UTI situacoes_especiais	KDIGO 2026 AKI/AKD Public Review Draft
Rabdomiolise: TRS para limpar mioglobina?	Nao como rotina; iniciar TRS por indicacoes clinicas/metabolicas usuais.	KDIGO2026_AKI_UTI situacoes_especiais	KDIGO 2026 AKI/AKD Public Review Draft
Nutrição em AKI: restringir proteina para evitar dialise?	Nao. Evitar restricao proteica com objetivo de adiar RRT.	KDIGO2026_AKI_UTI nutricao	KDIGO 2026 AKI/AKD Public Review Draft
Qual mnemônico para indicacao de RRT?	AEIOU-F: Acidose, Eletrólitos, Intoxicação, Overload, Uremia, Falha do manejo clinico.	KDIGO2026_AKI_UTI rrt	KDIGO 2026 AKI/AKD Public Review Draft
Quando iniciar RRT em AKI?	Quando complicacoes de fluido, eletrolito, acidobase ou uremicas forem refratarias ao tratamento e alinhadas às metas do paciente.	KDIGO2026_AKI_UTI rrt	KDIGO 2026 AKI/AKD Public Review Draft
Na ausencia de urgencia, inicio precoce ou deferido de RRT?	Estrategia deferida com monitorizacao frequente é favorecida; planejar antes da emergencia se alta probabilidade.	KDIGO2026_AKI_UTI rrt	KDIGO 2026 AKI/AKD Public Review Draft
Quando CRRT pode ser indicada mesmo sem AEIOU classico?	Hiperamonemia em encefalopatia hepatica grau >=2 por falencia hepatica aguda/aguda-sobre-cronica.	KDIGO2026_AKI_UTI rrt	KDIGO 2026 AKI/AKD Public Review Draft
O que é trial limitado de RRT?	Teste por tempo definido quando uremia/metabolismo podem confundir avaliacao neurologica ou despertar do coma.	KDIGO2026_AKI_UTI rrt	KDIGO 2026 AKI/AKD Public Review Draft
Como escolher modalidade inicial de RRT?	Integrar paciente, hemodinamica, neurologia, recursos, equipe e expertise local.	KDIGO2026_AKI_UTI modalidade	KDIGO 2026 AKI/AKD Public Review Draft
Paciente instavel hemodinamicamente: modalidade preferida?	CRRT ou PD aguda sobre IRRT convencional; PIRRT/SLED pode ser alternativa aceitavel.	KDIGO2026_AKI_UTI modalidade	KDIGO 2026 AKI/AKD Public Review Draft
Lesao cerebral aguda/risco de hipertensao intracraniana: modalidade?	CRRT preferivel a IRRT convencional para reduzir flutuacoes osmolares/hemodinamicas.	KDIGO2026_AKI_UTI modalidade	KDIGO 2026 AKI/AKD Public Review Draft
O que é PIRRT/SLED?	RRT intermitente prolongada por 6-12h, tentando combinar estabilidade da CRRT com logistica da HD.	KDIGO2026_AKI_UTI modalidade	KDIGO 2026 AKI/AKD Public Review Draft
Quando transicionar CRRT para IRRT?	Quando houver estabilidade fisiologica/metabolica e risco de hipertensao intracraniana/edema cerebral resolvido.	KDIGO2026_AKI_UTI modalidade	KDIGO 2026 AKI/AKD Public Review Draft
Dose recomendada de CRRT em adultos com AKI?	Volume efluente 20-25 mL/kg/h para clearance de solutos.	KDIGO2026_AKI_UTI dose_rrt	KDIGO 2026 AKI/AKD Public Review Draft
Dose recomendada em IRRT/PIRRT?	Kt/V semanal 3,9 em adultos com AKI.	KDIGO2026_AKI_UTI dose_rrt	KDIGO 2026 AKI/AKD Public Review Draft
Hemofiltracao de alto volume na sepse/choque septico?	Nao prescrever como rotina em comparacao à dose padrao de CRRT.	KDIGO2026_AKI_UTI dose_rrt	KDIGO 2026 AKI/AKD Public Review Draft
CRRT em obesidade: usar peso real sempre?	Nao necessariamente; peso ideal ou ajustado pode evitar dose excessiva.	KDIGO2026_AKI_UTI dose_rrt	KDIGO 2026 AKI/AKD Public Review Draft
Como reduzir hipotensao na transicao para IRRT?	Retirar vasodilatadores, albumina se hipoalbuminemia, midodrina selecionada, Qb/Qd iniciais baixos, banho frio, sodio alto e UF zero/baixa.	KDIGO2026_AKI_UTI complicacoes_rrt	KDIGO 2026 AKI/AKD Public Review Draft
Qual principio da UFNET em RRT?	Individualizar por fase da doença, hemodinamica, congestao, vasopressores e metas; revisar diariamente.	KDIGO2026_AKI_UTI ufnet	KDIGO 2026 AKI/AKD Public Review Draft
Quando suspender RRT?	Quando a funcao renal atende demandas metabolicas/volumicas ou quando RRT nao alinha metas/preferencias do paciente.	KDIGO2026_AKI_UTI desmame	KDIGO 2026 AKI/AKD Public Review Draft
Sinais favoraveis para tentar suspender RRT?	Diurese crescente, K/pH estaveis, balanco manejavel, sem uremia, menor vasopressor e tendencia de creatinina/ureia controlavel.	KDIGO2026_AKI_UTI desmame	KDIGO 2026 AKI/AKD Public Review Draft
Por que seguimento pos-AKI é essencial?	AKI pode evoluir para AKD/DRC, recorrencia, hipertensao, proteinuria e necessidade de monitorizacao renal/cardiovascular.	KDIGO2026_AKI_UTI followup	KDIGO 2026 AKI/AKD Public Review Draft
O que lembrar no WATCH-ME pos-AKI-RRT?	Weight, Access, Teaching, Clearance, Hypotension, Medication, Education/engajamento.	KDIGO2026_AKI_UTI followup	KDIGO 2026 AKI/AKD Public Review Draft
